Designator,Mid X,Mid Y,Layer,Rotation
"C1",28.1000,40.7750,top,270.0000
"C2",24.8000,15.0000,top,315.0000
"C3",26.3000,40.7750,top,270.0000
"C4",33.9000,40.7000,top,270.0000
"C5",23.7000,13.6000,top,315.0000
"C6",8.1000,41.9000,top,0.0000
"C7",46.8000,41.4375,top,0.0000
"C8",24.3000,35.4000,top,135.0000
"C9",27.5000,31.9000,top,225.0000
"C10",32.1000,40.7000,top,270.0000
"C11",17.7000,27.4000,top,315.0000
"C12",40.3000,40.6750,top,270.0000
"C13",20.5000,30.2000,top,315.0000
"C14",38.7000,40.6750,top,270.0000
"C15",29.8000,20.5000,top,315.0000
"C16",33.2000,27.1000,top,45.0000
"C17",25.8000,16.5000,top,135.0000
"C18",8.0000,47.9000,top,0.0000
"C19",46.9500,47.3375,top,0.0000
"C20",32.3000,28.0000,top,225.0000
"C21",5.9000,47.8000,top,90.0000
"C22",46.9500,48.5375,top,0.0000
"C23",17.2000,24.7000,top,135.0000
"C24",23.2000,17.4000,top,45.0000
"C25",35.6000,4.8000,top,0.0000
"J1",6.0000,28.0000,bottom,90.0000
"J3",44.0000,13.0000,bottom,90.0000
"R2",3.1000,42.2000,top,270.0000
"R4",47.9000,38.8375,top,90.0000
"R5",36.4000,35.0000,top,90.0000
"R8",44.4500,44.8375,top,90.0000
"R9",35.0000,33.2000,top,270.0000
"R10",37.7000,33.3000,top,270.0000
"R13",31.7250,43.2000,top,0.0000
"R14",24.1000,43.2000,top,0.0000
"R15",39.5000,43.2000,top,0.0000
"U1",8.0000,45.0000,top,270.0000
"U4",25.0000,25.0000,top,45.0000
